thread_id,opening_text,created_at,n_turns,dt,month,label_intent,is_multi_issue,is_non_english,is_support_request,label_escalate,label_reason
145247,@115858 @AppleSupport I think you need to notify people of the below scam. https://t.co/6huzzgeLKX,Fri Nov 24 05:38:07 +0000 2017,2,2017-11-24 05:38:07+00:00,2017-11,account_access_security,False,False,True,True,security-sensitive; identity or legitimacy verification may be required
242356,"@AppleSupport não aguento mais carregar meu celular não seus fodido, terei que ir pro iOS 10 novamente?",Fri Sep 29 21:48:26 +0000 2017,4,2017-09-29 21:48:26+00:00,2017-09,out_of_scope,False,True,True,True,"non-English input, out of scope for v1 auto-handling"
518351,@AppleSupport my iPhone keeps bringing this up every couple minutes then back to home screen!! Help?? I updated and all?? https://t.co/5EicSu6VvH,Sat Dec 02 01:07:00 +0000 2017,2,2017-12-02 01:07:00+00:00,2017-12,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle
234411,@AppleSupport Apple Care plus not yet registered on my iPhone 8 Plus,Thu Oct 05 04:08:46 +0000 2017,2,2017-10-05 04:08:46+00:00,2017-10,billing_subscription_purchase,False,False,True,True,"money-sensitive purchase, charge, subscription, or fulfillment issue"
496842,"@AppleSupport Vocês podiam fazer alguma coisa quanto a esse bug do iOS no iPhone 5S, tá insuportável",Fri Dec 01 17:49:44 +0000 2017,2,2017-12-01 17:49:44+00:00,2017-12,out_of_scope,False,True,True,True,"non-English input, out of scope for v1 auto-handling"
934473,@AppleSupport phone number for two factor authentification doesnt exist anymore wtf am i supposed 2 do to restore my goddamn iphone w/icloud,Sat Oct 21 10:34:32 +0000 2017,2,2017-10-21 10:34:32+00:00,2017-10,account_access_security,False,False,True,True,security-sensitive; identity or legitimacy verification may be required
453966,@AppleSupport can you help me ? I have sent my problem in DM,Thu Nov 30 22:37:59 +0000 2017,2,2017-11-30 22:37:59+00:00,2017-11,other_unclear,False,False,True,False,insufficient detail; ask one clarifying question before routing
286883,"@AppleSupport
sometimes my iphone hot when not connected to the internet :(",Fri Oct 06 10:56:15 +0000 2017,4,2017-10-06 10:56:15+00:00,2017-10,hardware_physical,False,False,True,True,physical-device or potential safety issue requires human assessment
952583,@115858 your update has fucked up my iPhone #wtf,Sat Oct 21 18:35:00 +0000 2017,2,2017-10-21 18:35:00+00:00,2017-10,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle
146610,@AppleSupport Why are the buttons like that? https://t.co/XHgG77luaR,Thu Nov 23 07:30:27 +0000 2017,4,2017-11-23 07:30:27+00:00,2017-11,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle
187447,@AppleSupport how come every time I update my phone it only gets slower and painful to use? Perhaps a scheme forcing me to get a new one?,Wed Oct 04 02:32:51 +0000 2017,2,2017-10-04 02:32:51+00:00,2017-10,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle
567641,@AppleSupport So does iOS 11.2 not actually include Apple Pay Cash?,Sun Dec 03 01:56:27 +0000 2017,2,2017-12-03 01:56:27+00:00,2017-12,feature_how_to,False,False,True,False,informational or setup question is safe to auto-handle
559052,@AppleSupport I don’t see the Pay Cash card in my wallet after updating to iOS 11.2,Sat Dec 02 21:56:44 +0000 2017,3,2017-12-02 21:56:44+00:00,2017-12,feature_how_to,False,False,True,False,informational or setup question is safe to auto-handle
208953,Yo @115858 WTF is with this auto WiFi and Bluetooth connection... it’s mad annoying!!!,Wed Oct 04 19:38:48 +0000 2017,4,2017-10-04 19:38:48+00:00,2017-10,connectivity,False,False,True,False,routine connectivity troubleshooting is safe to auto-handle
486130,"After a MacOs upgrade to High Sierra my MacBook Pro Retina Early 2013 became kind of slow/sluggish, any ideas @115858 ? Anyone has some fix for that? :P",Fri Dec 01 13:30:33 +0000 2017,4,2017-12-01 13:30:33+00:00,2017-12,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle
582769,@AppleSupport Is this normal on a Series 3 Watch? (Tried pair-unpair to no avail) https://t.co/gXYj7C6ehP,Sun Dec 03 05:01:36 +0000 2017,2,2017-12-03 05:01:36+00:00,2017-12,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle
557919,Who else is having a problem with their IPhone @115858 @AppleSupport,Sat Dec 02 20:26:36 +0000 2017,2,2017-12-02 20:26:36+00:00,2017-12,other_unclear,False,False,True,False,insufficient detail; ask one clarifying question before routing
559060,@AppleSupport :( https://t.co/IuCsH0d6a6,Sat Dec 02 21:46:27 +0000 2017,2,2017-12-02 21:46:27+00:00,2017-12,other_unclear,False,False,True,False,insufficient detail; ask one clarifying question before routing
483281,"i’m bouta pitch this phone though like!!
@115858 FIX MY SHIT BRUH!!!",Fri Dec 01 06:18:32 +0000 2017,2,2017-12-01 06:18:32+00:00,2017-12,other_unclear,False,False,True,False,insufficient detail; ask one clarifying question before routing
663884,"@115858 your updates since the release of the iPhone 8 and x have SCREWED my phone up. Videos don’t play right, orientation is messed up. PLEASE FIX IT!",Thu Nov 23 02:07:15 +0000 2017,2,2017-11-23 02:07:15+00:00,2017-11,software_update_performance,True,False,True,True,compound case; human review reduces the risk of an incomplete response
709528,"@115858 

iOS 11.x

The animation which happens when an icon is 3D-touched, is buggy and slow and fragmented on iPh-6s

Kindly resolve it !!",Tue Oct 10 18:57:09 +0000 2017,9,2017-10-10 18:57:09+00:00,2017-10,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle
437434,@115858 My iPhone has been extremely slow ever since I updated my phone. It will constantly freeze and turn off on its own. Why is this? 😡,Tue Oct 10 16:26:33 +0000 2017,3,2017-10-10 16:26:33+00:00,2017-10,software_update_performance,True,False,True,True,compound case; human review reduces the risk of an incomplete response
