thread_id,opening_text,created_at,n_turns,dt,month,label_intent,is_multi_issue,is_non_english,is_support_request,label_escalate,label_reason,label_source,human_reviewed,agent_reply
242356,"@AppleSupport não aguento mais carregar meu celular não seus fodido, terei que ir pro iOS 10 novamente?",Fri Sep 29 21:48:26 +0000 2017,4,2017-09-29 21:48:26+00:00,2017-09,out_of_scope,False,True,True,True,"non-English input, out of scope for v1 auto-handling",rules_plus_AI_review,False,"Thanks for contacting Apple Support. To make sure we help accurately, please contact Apple Support in your preferred language through the Apple Support app or getsupport.apple.com."
518351,@AppleSupport my iPhone keeps bringing this up every couple minutes then back to home screen!! Help?? I updated and all?? https://t.co/5EicSu6VvH,Sat Dec 02 01:07:00 +0000 2017,2,2017-12-02 01:07:00+00:00,2017-12,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle,rules_plus_AI_review,False,"Sorry you’re experiencing this after an update. Please restart your iPhone, check Settings > General > Software Update for any follow-up update, and make sure you have enough free storage. If it continues, contact Apple Support with your iPhone model and iOS version so we can help investigate."
934473,@AppleSupport phone number for two factor authentification doesnt exist anymore wtf am i supposed 2 do to restore my goddamn iphone w/icloud,Sat Oct 21 10:34:32 +0000 2017,2,2017-10-21 10:34:32+00:00,2017-10,account_access_security,False,False,True,True,security-sensitive; identity or legitimacy verification may be required,rules_plus_AI_review,False,"We can help you regain secure access. For your protection, never share passwords or verification codes. Start account recovery at iforgot.apple.com, or contact Apple Support if you no longer have access to your trusted phone number or device."
187447,@AppleSupport how come every time I update my phone it only gets slower and painful to use? Perhaps a scheme forcing me to get a new one?,Wed Oct 04 02:32:51 +0000 2017,2,2017-10-04 02:32:51+00:00,2017-10,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle,rules_plus_AI_review,False,"Sorry you’re experiencing this after an update. Please restart your iPhone, check Settings > General > Software Update for any follow-up update, and make sure you have enough free storage. If it continues, contact Apple Support with your iPhone model and iOS version so we can help investigate."
208953,Yo @115858 WTF is with this auto WiFi and Bluetooth connection... it’s mad annoying!!!,Wed Oct 04 19:38:48 +0000 2017,4,2017-10-04 19:38:48+00:00,2017-10,connectivity,False,False,True,False,routine connectivity troubleshooting is safe to auto-handle,rules_plus_AI_review,False,"Sorry you’re having trouble connecting. Try turning Wi-Fi or Bluetooth off and back on, restarting the device, and installing the latest software update. If it persists, tell us your device model, software version, and the network/accessory involved."
486130,"After a MacOs upgrade to High Sierra my MacBook Pro Retina Early 2013 became kind of slow/sluggish, any ideas @115858 ? Anyone has some fix for that? :P",Fri Dec 01 13:30:33 +0000 2017,4,2017-12-01 13:30:33+00:00,2017-12,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle,rules_plus_AI_review,False,"Sorry you’re experiencing this after an update. Please restart your iPhone, check Settings > General > Software Update for any follow-up update, and make sure you have enough free storage. If it continues, contact Apple Support with your iPhone model and iOS version so we can help investigate."
582769,@AppleSupport Is this normal on a Series 3 Watch? (Tried pair-unpair to no avail) https://t.co/gXYj7C6ehP,Sun Dec 03 05:01:36 +0000 2017,2,2017-12-03 05:01:36+00:00,2017-12,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle,rules_plus_AI_review,False,"Sorry you’re experiencing this after an update. Please restart your iPhone, check Settings > General > Software Update for any follow-up update, and make sure you have enough free storage. If it continues, contact Apple Support with your iPhone model and iOS version so we can help investigate."
559060,@AppleSupport :( https://t.co/IuCsH0d6a6,Sat Dec 02 21:46:27 +0000 2017,2,2017-12-02 21:46:27+00:00,2017-12,other_unclear,False,False,True,False,insufficient detail; ask one clarifying question before routing,rules_plus_AI_review,False,"Sorry you’re running into this. Could you share your device model, software version, and what happens when you try? With those details, Apple Support can point you to the right next step."
709528,"@115858 

iOS 11.x

The animation which happens when an icon is 3D-touched, is buggy and slow and fragmented on iPh-6s

Kindly resolve it !!",Tue Oct 10 18:57:09 +0000 2017,9,2017-10-10 18:57:09+00:00,2017-10,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle,rules_plus_AI_review,False,"Sorry you’re experiencing this after an update. Please restart your iPhone, check Settings > General > Software Update for any follow-up update, and make sure you have enough free storage. If it continues, contact Apple Support with your iPhone model and iOS version so we can help investigate."
629774,"Bought a brand new 32gb iPhone and I click into storage to find 21gb available, I’m going to presume the other 11gb is stuck in the post and will be here shortly yes? @115858",Wed Nov 22 13:56:45 +0000 2017,2,2017-11-22 13:56:45+00:00,2017-11,feature_how_to,False,False,True,False,informational or setup question is safe to auto-handle,rules_plus_AI_review,False,"We’re happy to help. You can find step-by-step guidance in the Apple Support app or at support.apple.com. Please tell us which Apple device and software version you’re using, and what you’d like to do."
